project	site	total_screenings	screening_ineligible	pending_approval	in_progress	withdrawn__preproduct	withdrawn__postproduct	randomized	complete	date
Project 1	uvm	1	0	1	0	0	0	0	0	2020-05-27
Project 2	uvm	3	2	0	1	0	0	0	0	2020-05-27
Project 3	brown	2	0	0	2	0	0	0	0	2020-05-27
Project 3	uvm	9	6	1	2	0	0	0	0	2020-05-27
Project 1	uvm	1	0	1	0	0	0	0	0	2020-05-27
Project 2	uvm	3	2	0	1	0	0	0	0	2020-05-27
Project 3	brown	2	0	0	2	0	0	0	0	2020-05-27
Project 3	uvm	9	6	1	2	0	0	0	0	2020-05-27
Project 1	uvm	1	0	1	0	0	0	0	0	2020-05-27
Project 2	uvm	3	2	0	1	0	0	0	0	2020-05-27
Project 3	brown	2	0	0	2	0	0	0	0	2020-05-27
Project 3	uvm	9	6	1	2	0	0	0	0	2020-05-27
Project 1	uvm	1	0	1	0	0	0	0	0	2020-05-27
Project 2	uvm	3	2	0	1	0	0	0	0	2020-05-27
Project 3	brown	2	0	0	2	0	0	0	0	2020-05-27
Project 3	uvm	9	6	1	2	0	0	0	0	2020-05-27
Project 1	uvm	1	0	1	0	0	0	0	0	2020-05-27
Project 2	uvm	3	2	0	1	0	0	0	0	2020-05-27
Project 3	brown	2	0	0	2	0	0	0	0	2020-05-27
Project 3	uvm	9	6	1	2	0	0	0	0	2020-05-27
Project 1	uvm	1	0	1	0	0	0	0	0	2020-05-27
Project 2	uvm	3	2	0	1	0	0	0	0	2020-05-27
Project 3	brown	2	0	0	2	0	0	0	0	2020-05-27
Project 3	uvm	9	6	1	2	0	0	0	0	2020-05-27
Project 1	uvm	1	0	1	0	0	0	0	0	2020-05-27
Project 2	uvm	3	2	0	1	0	0	0	0	2020-05-27
Project 3	brown	2	0	0	2	0	0	0	0	2020-05-27
Project 3	uvm	9	6	1	2	0	0	0	0	2020-05-27
Project 1	uvm	1	0	1	0	0	0	0	0	2020-05-27
Project 2	uvm	3	2	0	1	0	0	0	0	2020-05-27
Project 3	brown	2	0	0	2	0	0	0	0	2020-05-27
Project 3	uvm	9	6	1	2	0	0	0	0	2020-05-27
Project 1	uvm	1	0	1	0	0	0	0	0	2020-05-27
Project 2	uvm	3	2	0	1	0	0	0	0	2020-05-27
Project 3	brown	2	0	0	2	0	0	0	0	2020-05-27
Project 3	uvm	9	6	1	2	0	0	0	0	2020-05-27
Project 1	uvm	1	0	1	0	0	0	0	0	2020-05-27
Project 2	uvm	3	2	0	1	0	0	0	0	2020-05-27
Project 3	brown	2	0	0	2	0	0	0	0	2020-05-27
Project 3	uvm	9	6	1	2	0	0	0	0	2020-05-27
Project 1	uvm	1	0	1	0	0	0	0	0	2020-05-27
Project 2	uvm	3	2	0	1	0	0	0	0	2020-05-27
Project 3	brown	2	0	0	2	0	0	0	0	2020-05-27
Project 3	uvm	9	6	1	2	0	0	0	0	2020-05-27
Project 1	uvm	1	0	1	0	0	0	0	0	2020-05-27
Project 2	uvm	3	2	0	1	0	0	0	0	2020-05-27
Project 3	brown	2	0	0	2	0	0	0	0	2020-05-27
Project 3	uvm	9	6	1	2	0	0	0	0	2020-05-27
Project 1	uvm	1	0	1	0	0	0	0	0	2020-05-27
Project 2	uvm	3	2	0	1	0	0	0	0	2020-05-27
Project 3	brown	2	0	0	2	0	0	0	0	2020-05-27
Project 3	uvm	9	6	1	2	0	0	0	0	2020-05-27
Project 1	uvm	1	0	1	0	0	0	0	0	2020-06-01
Project 2	uvm	3	2	0	1	0	0	0	0	2020-06-01
Project 3	brown	2	0	0	2	0	0	0	0	2020-06-01
Project 3	uvm	9	6	1	2	0	0	0	0	2020-06-01
Project 1	uvm	1	0	1	0	0	0	0	0	2020-06-02
Project 2	uvm	3	2	0	1	0	0	0	0	2020-06-02
Project 3	brown	2	0	0	2	0	0	0	0	2020-06-02
Project 3	uvm	9	6	1	2	0	0	0	0	2020-06-02
Project 1	uvm	1	0	1	0	0	0	0	0	2020-06-10
Project 2	uvm	3	2	0	1	0	0	0	0	2020-06-10
Project 3	brown	2	0	0	2	0	0	0	0	2020-06-10
Project 3	uvm	9	6	1	2	0	0	0	0	2020-06-10
"Project 3"	"brown"	1	0	0	1	0	0	0	0	2020-08-18
"Project 1"	"uvm"	1	0	1	0	0	0	0	0	2020-08-18
"Project 2"	"uvm"	2	1	0	1	0	0	0	0	2020-08-18
"Project 3"	"uvm"	3	1	1	1	0	0	0	0	2020-08-18
"Project 3"	"brown"	1	0	0	1	0	0	0	0	2020-08-19
"Project 1"	"uvm"	1	0	1	0	0	0	0	0	2020-08-19
"Project 2"	"uvm"	2	1	0	1	0	0	0	0	2020-08-19
"Project 3"	"uvm"	3	1	1	1	0	0	0	0	2020-08-19
